Event	ID	Name			Wwise Object Path	Notes
	70222198	Play_Drawer_Close_Empty			\Default Work Unit\World\Intractibles\Drawer\Empty\Play_Drawer_Close_Empty	
	82250835	Play_Light_Switch_On			\Default Work Unit\World\Intractibles\Light Switch\Play_Light_Switch_On	
	105949735	Play_Fridge_Door_Open			\Default Work Unit\World\Intractibles\Fridge\Fridge Door\Play_Fridge_Door_Open	
	140088172	Play_Wash_Machine_Knob			\Default Work Unit\World\Intractibles\Wash\Play_Wash_Machine_Knob	
	304768047	Play_Trash_Lid_Close			\Default Work Unit\World\Intractibles\Trash\Lid\Play_Trash_Lid_Close	
	314077991	Play_Light_Switch_Off			\Default Work Unit\World\Intractibles\Light Switch\Play_Light_Switch_Off	
	422001050	Play_TV_Power_On			\Default Work Unit\World\Intractibles\TV\Power\Play_TV_Power_On	
	465373113	Play_Wash_Door_Open			\Default Work Unit\World\Intractibles\Wash\Door\Play_Wash_Door_Open	
	470009873	Play_Freezer_Door_Open			\Default Work Unit\World\Intractibles\Fridge\Freezer Door\Play_Freezer_Door_Open	
	612620834	Play_Fusebox_Door_Open			\Default Work Unit\World\Intractibles\Fusebox\Door\Play_Fusebox_Door_Open	
	657849088	Play_Bed_Enter			\Default Work Unit\World\Intractibles\Bed\Play_Bed_Enter	
	717201584	Play_TV_Power_Off			\Default Work Unit\World\Intractibles\TV\Power\Play_TV_Power_Off	
	717324499	Play_Sink_Handles			\Default Work Unit\World\Intractibles\SInk\Play_Sink_Handles	
	761936719	Play_Fusebox_Breaker_On			\Default Work Unit\World\Intractibles\Fusebox\Breaker\Play_Fusebox_Breaker_On	
	798871922	Stop_Standing_Light_Loop			\Default Work Unit\World\Intractibles\Standing Light\Stop_Standing_Light_Loop	
	969296927	Play_Wash_Door_Close			\Default Work Unit\World\Intractibles\Wash\Door\Play_Wash_Door_Close	
	1237346242	Play_Drawer_Open_Empty			\Default Work Unit\World\Intractibles\Drawer\Empty\Play_Drawer_Open_Empty	
	1323502295	Play_Player_Footsteps_Wood			\Default Work Unit\World\Player\Footsteps\Play_Player_Footsteps_Wood	
	1625998593	Play_Pills_Pickup			\Default Work Unit\World\Intractibles\Pickups\Play_Pills_Pickup	
	1660008929	Play_Door_Open			\Default Work Unit\World\Intractibles\Door\Play_Door_Open	
	1841648030	Play_Trash_Bag_Pickup			\Default Work Unit\World\Intractibles\Trash\Play_Trash_Bag_Pickup	
	1958703520	Play_Drawer_Open			\Default Work Unit\World\Intractibles\Drawer\Item\Play_Drawer_Open	
	2141857383	Play_Cabinet_Small_Close			\Default Work Unit\World\Intractibles\Cabinet\Cabinet Small\Play_Cabinet_Small_Close	
	2210075393	Play_Ductape_Pickup			\Default Work Unit\World\Intractibles\Pickups\Play_Ductape_Pickup	
	2225339950	Play_Shower_Door_Open			\Default Work Unit\World\Intractibles\Shower\Door\Play_Shower_Door_Open	
	2292458263	Play_Door_Close			\Default Work Unit\World\Intractibles\Door\Play_Door_Close	
	2315829540	Play_Drawer_Close			\Default Work Unit\World\Intractibles\Drawer\Item\Play_Drawer_Close	
	2320097534	Play_Toilet_Lid_Open			\Default Work Unit\World\Intractibles\Toilet\Lid\Play_Toilet_Lid_Open	
	2332875111	Play_Freezer_Door_Close			\Default Work Unit\World\Intractibles\Fridge\Freezer Door\Play_Freezer_Door_Close	
	2352193513	Play_Trash_Lid_Open			\Default Work Unit\World\Intractibles\Trash\Lid\Play_Trash_Lid_Open	
	2531064299	Play_Cabinet_Large_Close			\Default Work Unit\World\Intractibles\Cabinet\Cabinet Large\Play_Cabinet_Large_Close	
	2531764854	Play_Fusebox_Door_Close			\Default Work Unit\World\Intractibles\Fusebox\Door\Play_Fusebox_Door_Close	
	2575131963	Play_Door_Handle			\Default Work Unit\World\Intractibles\Door\Play_Door_Handle	
	2637930989	Play_Fridge_Door_Close			\Default Work Unit\World\Intractibles\Fridge\Fridge Door\Play_Fridge_Door_Close	
	2746477793	Play_Shower_On_Loop			\Default Work Unit\World\Intractibles\Shower\Play_Shower_On_Loop	
	2754573889	Play_TV_Loop			\Default Work Unit\World\Intractibles\TV\Play_TV_Loop	
	2776939461	Play_Fridge_Open_Loop			\Default Work Unit\World\Intractibles\Fridge\Play_Fridge_Open_Loop	
	2826556030	Play_Oven_Door_Open			\Default Work Unit\World\Intractibles\Oven\Play_Oven_Door_Open	
	3078951190	Play_Phone_Message			\Default Work Unit\World\Intractibles\Phone\Play_Phone_Message	
	3094035634	Play_Toilet_Flush			\Default Work Unit\World\Intractibles\Toilet\Play_Toilet_Flush	
	3111854812	Play_Standing_Light_Loop			\Default Work Unit\World\Intractibles\Standing Light\Play_Standing_Light_Loop	
	3287628333	Play_Cabinet_Large_Open			\Default Work Unit\World\Intractibles\Cabinet\Cabinet Large\Play_Cabinet_Large_Open	
	3292911894	Play_Cabinet_Utility_Open			\Default Work Unit\World\Intractibles\Cabinet\Cabinet Utility\Play_Cabinet_Utility_Open	
	3308998819	Play_Fusebox_Breaker_Off			\Default Work Unit\World\Intractibles\Fusebox\Breaker\Play_Fusebox_Breaker_Off	
	3471928368	Play_Flashlight_On			\Default Work Unit\World\Intractibles\Pickups\Play_Flashlight_On	
	3621687239	Play_Fusebox_Button			\Default Work Unit\World\Intractibles\Fusebox\Play_Fusebox_Button	
	3721638250	Play_Sink_On_Loop			\Default Work Unit\World\Intractibles\SInk\Play_Sink_On_Loop	
	3741941098	Play_Bed_Exit			\Default Work Unit\World\Intractibles\Bed\Play_Bed_Exit	
	3807435137	Play_Shower_Handle			\Default Work Unit\World\Intractibles\Shower\Play_Shower_Handle	
	3860455926	Play_Pickup			\Default Work Unit\World\Intractibles\Play_Pickup	
	3866338882	Play_Cabinet_Utility_Close			\Default Work Unit\World\Intractibles\Cabinet\Cabinet Utility\Play_Cabinet_Utility_Close	
	3954534161	Play_Cabinet_Small_Open			\Default Work Unit\World\Intractibles\Cabinet\Cabinet Small\Play_Cabinet_Small_Open	
	4031726782	Play_Hammer_Hit			\Default Work Unit\World\Intractibles\Pickups\Play_Hammer_Hit	
	4101144041	Play_Bottle_Pickup			\Default Work Unit\World\Intractibles\Pickups\Play_Bottle_Pickup	
	4125304698	Play_Toilet_Lid_Close			\Default Work Unit\World\Intractibles\Toilet\Lid\Play_Toilet_Lid_Close	
	4135004417	Play_Window_Open			\Default Work Unit\World\Intractibles\Window\Play_Window_Open	
	4217132026	Play_Oven_Door_Close			\Default Work Unit\World\Intractibles\Oven\Play_Oven_Door_Close	
	4244658871	Play_Window_Close			\Default Work Unit\World\Intractibles\Window\Play_Window_Close	
	4252663551	Play_Oven_Beep			\Default Work Unit\World\Intractibles\Oven\Play_Oven_Beep	
	4281644042	Play_Shower_Door_Close			\Default Work Unit\World\Intractibles\Shower\Door\Play_Shower_Door_Close	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	444089	DoorCabinet 6018_09_5	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\DoorCabinet 6018_09_5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Cabinet\Cabinet_Large\Cabinet_Large_Open\DoorCabinet 6018_09_5		419936
	6944452	25-39 Microwave 1; Door Open _ Close Three Times_ Close Perspective_ Kitchen, Oven_	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\25-39 Microwave 1; Door Open _ Close Three Times. Close Perspective. Kitchen, Oven._004C062F.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Oven\Oven Door\Oven_Door_Open\25-39 Microwave 1; Door Open _ Close Three Times_ Close Perspective_ Kitchen, Oven_		394508
	29066256	03 Wood Door #3_ Open And Slam With Metal Latch Knob	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\03 Wood Door #3_ Open And Slam With Metal Latch Knob_FCD11603.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Door\Door_Close\03 Wood Door #3_ Open And Slam With Metal Latch Knob		608296
	37149225	DoorCabinet 6018_09_3	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\DoorCabinet 6018_09_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Cabinet\Cabinet_Utility\Cabinet_Utility_Open\DoorCabinet 6018_09_3		452704
	47976970	hammer v1(3)	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\hammer v1(3)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Pickups\Hammer\Hammer_Hit\hammer v1(3)		68000
	69290928	Player_Footstep_Wood_04	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\Player_Footstep_Wood_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Footsteps\Player_Footsteps_Wood\Player_Footstep_Wood_04		19592
	79665570	DoorCabinet 6018_09_1	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\DoorCabinet 6018_09_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Cabinet\Cabinet_Utility\Cabinet_Utility_Close\DoorCabinet 6018_09_1		278624
	101304777	Player_Footstep_Wood_03	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\Player_Footstep_Wood_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Footsteps\Player_Footsteps_Wood\Player_Footstep_Wood_03		34292
	129015237	Drawer 6018_33_3	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\Drawer 6018_33_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Drawer\Item\Drawer_Close\Drawer 6018_33_3		247904
	148368752	Pills(4)	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\Pills(4)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Pickups\Pills\Pills_Pickup\Pills(4)		128652
	148628804	hammer v1	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\hammer v1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Pickups\Hammer\Hammer_Hit\hammer v1		65844
	148774718	25-63 Washing Machine Door_ Open _ Close; Washing Machine Door Open _ Close ( Twice )_ Close Perspective_	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\25-63 Washing Machine Door_ Open _ Close; Washing Machine Door Open _ Close ( Twice ). Close Perspective._709E5B6D.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Wash Machine\Wash Door\Wash_Door_Open\25-63 Washing Machine Door_ Open _ Close; Washing Machine Door Open _ Close ( Twice )_ Close Perspective_		153396
	168958372	Button 02	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\Button 02_02328A7B.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Fusebox\Fusebox_Button\Button 02		29560
	216700862	Button 03(2)	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\Button 03(2)_2ED97540.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Fusebox\Fusebox_Button\Button 03(2)		24532
	228538503	Pull switch	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\Pull switch_83EFCB6F.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Light Switch\Light_Switch_On\Pull switch		40352
	233508396	25-39 Microwave 1; Door Open _ Close Three Times_ Close Perspective_ Kitchen, Oven_	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\25-39 Microwave 1; Door Open _ Close Three Times. Close Perspective. Kitchen, Oven._BD9776BF.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Oven\Oven Buttons\Oven_Beep\25-39 Microwave 1; Door Open _ Close Three Times_ Close Perspective_ Kitchen, Oven_		264696
	238130164	FRIDGE_DOOR_SLAM_HUM_01_CS	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\FRIDGE_DOOR_SLAM_HUM_01_CS_B94C1BD7.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Fridge\Fridge Door\Fridge_Door_Close\FRIDGE_DOOR_SLAM_HUM_01_CS		190120
	252798503	DoorRefrigerator 6048_51_2	Y:\Documents\GitHub\1-Bit-GameJam-3D-Project\1-Bit-GameJam-3D-Project_WwiseProject\.cache\Mac\SFX\DoorRefrigerator 6048_51_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Intractables\Fridge\Fridge Door\Fridge_Door_Close\DoorRefrigerator 6048_51_2		163936
